model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
GLMNET,warning_biogas_quality,1.0,BAC_G::Atopobium,Bacteria,0.15889770723104057,0.2680344116965448,3,5,2,2,2,48.666666666666664,0.06520750206512547,0.6666666666666666,0.6666666666666666
GLMNET,warning_biogas_quality,2.0,BAC_G::Bacteroides,Bacteria,0.15344817219817222,0.25919270179436327,3,5,2,2,2,48.0,0.0026273653239845813,0.6666666666666666,0.6666666666666666
GLMNET,warning_biogas_quality,3.0,BAC_P::Actinobacteriota,Bacteria,0.06132154882154883,0.08894501618887728,3,5,2,2,2,47.333333333333336,0.03863890787060487,0.6666666666666666,0.6666666666666666
GLMNET,warning_biogas_quality,4.0,ARC_G::Methanospirillum,Archaea,0.025000000000000005,0.04330127018922194,3,5,1,1,1,93.5,0.054745557110982196,0.3333333333333333,0.3333333333333333
GLMNET,warning_biogas_quality,5.0,T_C,Metadata: operation/context,0.019444444444444445,0.033678765702728174,3,5,1,1,1,93.83333333333333,0.027186693607199608,0.3333333333333333,0.3333333333333333
GLMNET,warning_biogas_quality,6.0,BAC_G::Petrimonas,Bacteria,0.00833722377840025,0.014440495178260598,3,5,1,1,1,93.0,0.011858595305492867,0.3333333333333333,0.3333333333333333
GLMNET,warning_biogas_quality,7.0,BAC_G::Zoogloea,Bacteria,0.007291666666666666,0.012629537138523064,3,5,1,1,1,94.16666666666667,0.032609324671871935,0.3333333333333333,0.3333333333333333
GLMNET,warning_biogas_quality,8.0,BAC_P::Spirochaetota,Bacteria,0.006388888888888891,0.01106588015946783,3,5,1,1,1,94.5,0.06771291594928383,0.3333333333333333,0.3333333333333333
GLMNET,warning_biogas_quality,9.0,ARC_P::Halobacterota,Archaea,0.0027777777777777783,0.004811252243246882,3,5,1,1,1,95.16666666666667,0.012422599874998832,0.3333333333333333,0.3333333333333333
GLMNET,warning_biogas_quality,9.0,BAC_P::Cloacimonadota,Bacteria,0.0027777777777777783,0.004811252243246882,3,5,1,1,1,95.16666666666667,0.012422599874998835,0.3333333333333333,0.3333333333333333
GLMNET,warning_biogas_quality,11.0,ARC_G::unidentified,Archaea,0.0020833333333333333,0.0036084391824351613,3,5,1,1,1,95.83333333333333,0.05143233504051025,0.3333333333333333,0.3333333333333333
GLMNET,warning_biogas_quality,12.0,ARC_G::Marine_Benthic_Group_D_and_DHVEG-1,Archaea,0.0019246031746031845,0.003333510482821071,3,5,1,1,1,94.0,0.01381616097779304,0.3333333333333333,0.3333333333333333
GLMNET,warning_biogas_quality,13.0,ARC_G::Aenigmarchaeales,Archaea,0.0,0.0,3,5,0,0,0,139.16666666666666,0.0,0.0,0.0
GLMNET,warning_biogas_quality,13.0,ARC_G::Bathyarchaeia,Archaea,0.0,0.0,3,5,0,0,0,139.16666666666666,0.0,0.0,0.0
