domain,rank,workbook_sample,SampleID,workbook_suffix,Site
BAC,P,1-1-BSSG,1-1,BSSG,BSS
BAC,P,1-10-DGDC,1-10,DGDC,DGC
BAC,P,1-11-DGYSa,1-11,DGYSa,DGY
BAC,P,1-11b-DGYSb,1-11b,DGYSb,DGYb
BAC,P,1-12-USOS,1-12,USOS,USO
BAC,P,1-13-USYY,1-13,USYY,USY
BAC,P,1-14-USYJ,1-14,USYJ,USJ
BAC,P,1-15-GSGA,1-15,GSGA,GSG
BAC,P,1-16-GCGD,1-16,GCGD,GCG
BAC,P,1-17-MGYS,1-17,MGYS,MGY
BAC,P,1-18-ADAS,1-18,ADAS,ADA
BAC,P,1-19-ADPC,1-19,ADPC,ADP
BAC,P,1-2-BSNS,1-2,BSNS,BSN
BAC,P,1-20-YCGH,1-20,YCGH,YCG
BAC,P,1-21-YCDG,1-21,YCDG,YCD
BAC,P,1-22-UJGN,1-22,UJGN,UJG
BAC,P,1-23-CGSJ,1-23,CGSJ,CGS
BAC,P,1-24-GHGHa,1-24,GHGHa,GHGa
BAC,P,1-25-GHGHb,1-25,GHGHb,GHGb
BAC,P,1-26-GHHM,1-26,GHHM,GHH
BAC,P,1-27-GHJY,1-27,GHJY,GHJ
BAC,P,1-28-MYSN,1-28,MYSN,MYS
BAC,P,1-29-SCHG,1-29,SCHG,SCH
BAC,P,1-3-BSIGa,1-3,BSIGa,BSI
BAC,P,1-30-YSDM,1-30,YSDM,YSD
BAC,P,1-31-YSYS,1-31,YSYS,YSY
BAC,P,1-32-JJNG,1-32,JJNG,JJN
BAC,P,1-32'-JJYS,1-32',JJYS,JJY
BAC,P,1-33-CWMS,1-33,CWMS,CWM
BAC,P,1-34-CWSS,1-34,CWSS,CWS
BAC,P,1-3b-BSIGb,1-3b,BSIGb,BSIb
BAC,P,1-4-BSOC,1-4,BSOC,BSO
BAC,P,1-5-BSES,1-5,BSES,BSE
BAC,P,1-6-DGGW,1-6,DGGW,DGG
BAC,P,1-7-DGDS,1-7,DGDS,DGD
BAC,P,1-8-DGJY,1-8,DGJY,DGJ
BAC,P,1-9-DGGB,1-9,DGGB,DGB
BAC,P,2-1-BSSG,2-1,BSSG,BSS
BAC,P,2-10-DGDC,2-10,DGDC,DGC
BAC,P,2-11-DGYSa,2-11,DGYSa,DGY
BAC,P,2-12-USOS,2-12,USOS,USO
BAC,P,2-13-USYY,2-13,USYY,USY
BAC,P,2-14-USYJ,2-14,USYJ,USJ
BAC,P,2-15-GSGA,2-15,GSGA,GSG
BAC,P,2-16-GCGD,2-16,GCGD,GCG
BAC,P,2-17-MGYS,2-17,MGYS,MGY
BAC,P,2-18-ADAS,2-18,ADAS,ADA
BAC,P,2-19-ADPC,2-19,ADPC,ADP
BAC,P,2-2-BSNS,2-2,BSNS,BSN
BAC,P,2-20-YCGH,2-20,YCGH,YCG
BAC,P,2-21-YCDG,2-21,YCDG,YCD
BAC,P,2-22-UJGN,2-22,UJGN,UJG
BAC,P,2-23-CGSJ,2-23,CGSJ,CGS
BAC,P,2-24-GHGHa,2-24,GHGHa,GHGa
BAC,P,2-25-GHGHb,2-25,GHGHb,GHGb
BAC,P,2-26-GHHM,2-26,GHHM,GHH
BAC,P,2-27-GHJY,2-27,GHJY,GHJ
BAC,P,2-28-MYSN,2-28,MYSN,MYS
BAC,P,2-29-SCHG,2-29,SCHG,SCH
BAC,P,2-3-BSIGa,2-3,BSIGa,BSI
BAC,P,2-30-YSDM,2-30,YSDM,YSD
BAC,P,2-31-YSYS,2-31,YSYS,YSY
BAC,P,2-32-JJNG,2-32,JJNG,JJN
BAC,P,2-32'-JJYS,2-32',JJYS,JJY
BAC,P,2-33-CWMS,2-33,CWMS,CWM
BAC,P,2-34-CWSS,2-34,CWSS,CWS
BAC,P,2-4-BSOC,2-4,BSOC,BSO
BAC,P,2-5-BSES,2-5,BSES,BSE
BAC,P,2-6-DGGW,2-6,DGGW,DGG
BAC,P,2-7-DGDS,2-7,DGDS,DGD
BAC,P,2-8-DGJY,2-8,DGJY,DGJ
BAC,P,2-9-DGGB,2-9,DGGB,DGB
BAC,P,3-1-BSSG,3-1,BSSG,BSS
BAC,P,3-10-DGDC,3-10,DGDC,DGC
BAC,P,3-11-DGYSa,3-11,DGYSa,DGY
BAC,P,3-12-USOS,3-12,USOS,USO
BAC,P,3-13-USYY,3-13,USYY,USY
BAC,P,3-14-USYJ,3-14,USYJ,USJ
BAC,P,3-15-GSGA,3-15,GSGA,GSG
BAC,P,3-16-GCGD,3-16,GCGD,GCG
BAC,P,3-17-MGYS,3-17,MGYS,MGY
BAC,P,3-18-ADAS,3-18,ADAS,ADA
BAC,P,3-19-ADPC,3-19,ADPC,ADP
BAC,P,3-2-BSNS,3-2,BSNS,BSN
BAC,P,3-20-YCGH,3-20,YCGH,YCG
BAC,P,3-21-YCDG,3-21,YCDG,YCD
BAC,P,3-22-UJGN,3-22,UJGN,UJG
BAC,P,3-23-CGSJ,3-23,CGSJ,CGS
BAC,P,3-24-GHGHa,3-24,GHGHa,GHGa
BAC,P,3-25-GHGHb,3-25,GHGHb,GHGb
BAC,P,3-26-GHHM,3-26,GHHM,GHH
BAC,P,3-27-GHJY,3-27,GHJY,GHJ
BAC,P,3-28-MYSN,3-28,MYSN,MYS
BAC,P,3-29-SCHG,3-29,SCHG,SCH
BAC,P,3-3-BSIGa,3-3,BSIGa,BSI
BAC,P,3-30-YSDM,3-30,YSDM,YSD
BAC,P,3-31-YSYS,3-31,YSYS,YSY
BAC,P,3-32-JJNG,3-32,JJNG,JJN
BAC,P,3-32'-JJYS,3-32',JJYS,JJY
BAC,P,3-33-CWMS,3-33,CWMS,CWM
BAC,P,3-34-CWSS,3-34,CWSS,CWS
BAC,P,3-4-BSOC,3-4,BSOC,BSO
BAC,P,3-5-BSES,3-5,BSES,BSE
BAC,P,3-6-DGGW,3-6,DGGW,DGG
BAC,P,3-7-DGDS,3-7,DGDS,DGD
BAC,P,3-8-DGJY,3-8,DGJY,DGJ
BAC,P,3-9-DGGB,3-9,DGGB,DGB
BAC,P,4-1-BSSG,4-1,BSSG,BSS
BAC,P,4-10-DGDC,4-10,DGDC,DGC
BAC,P,4-11-DGYSa,4-11,DGYSa,DGY
BAC,P,4-12-USOS,4-12,USOS,USO
BAC,P,4-13-USYY,4-13,USYY,USY
BAC,P,4-14-USYJ,4-14,USYJ,USJ
BAC,P,4-15-GSGA,4-15,GSGA,GSG
BAC,P,4-16-GCGD,4-16,GCGD,GCG
BAC,P,4-17-MGYS,4-17,MGYS,MGY
BAC,P,4-18-ADAS,4-18,ADAS,ADA
BAC,P,4-2-BSNS,4-2,BSNS,BSN
BAC,P,4-21-YCDG,4-21,YCDG,YCD
BAC,P,4-22-UJGN,4-22,UJGN,UJG
BAC,P,4-23-CGSJ,4-23,CGSJ,CGS
BAC,P,4-24-GHGHa,4-24,GHGHa,GHGa
BAC,P,4-25-GHGHb,4-25,GHGHb,GHGb
BAC,P,4-26-GHHM,4-26,GHHM,GHH
BAC,P,4-27-GHJY,4-27,GHJY,GHJ
BAC,P,4-28-MYSN,4-28,MYSN,MYS
BAC,P,4-29-SCHG,4-29,SCHG,SCH
BAC,P,4-3-BSIGa,4-3,BSIGa,BSI
BAC,P,4-30-YSDM,4-30,YSDM,YSD
BAC,P,4-31-YSYS,4-31,YSYS,YSY
BAC,P,4-32-JJNG,4-32,JJNG,JJN
BAC,P,4-32'-JJYS,4-32',JJYS,JJY
BAC,P,4-33-CWMS,4-33,CWMS,CWM
BAC,P,4-34-CWSS,4-34,CWSS,CWS
BAC,P,4-4-BSOC,4-4,BSOC,BSO
BAC,P,4-5-BSES,4-5,BSES,BSE
BAC,P,4-6-DGGW,4-6,DGGW,DGG
BAC,P,4-7-DGDS,4-7,DGDS,DGD
BAC,P,4-8-DGJY,4-8,DGJY,DGJ
BAC,P,4-9-DGGB,4-9,DGGB,DGB
BAC,O,1-1-BSSG,1-1,BSSG,BSS
BAC,O,1-10-DGDC,1-10,DGDC,DGC
BAC,O,1-11-DGYSa,1-11,DGYSa,DGY
BAC,O,1-11b-DGYSb,1-11b,DGYSb,DGYb
BAC,O,1-12-USOS,1-12,USOS,USO
BAC,O,1-13-USYY,1-13,USYY,USY
BAC,O,1-14-USYJ,1-14,USYJ,USJ
BAC,O,1-15-GSGA,1-15,GSGA,GSG
BAC,O,1-16-GCGD,1-16,GCGD,GCG
BAC,O,1-17-MGYS,1-17,MGYS,MGY
BAC,O,1-18-ADAS,1-18,ADAS,ADA
BAC,O,1-19-ADPC,1-19,ADPC,ADP
BAC,O,1-2-BSNS,1-2,BSNS,BSN
BAC,O,1-20-YCGH,1-20,YCGH,YCG
BAC,O,1-21-YCDG,1-21,YCDG,YCD
BAC,O,1-22-UJGN,1-22,UJGN,UJG
BAC,O,1-23-CGSJ,1-23,CGSJ,CGS
BAC,O,1-24-GHGHa,1-24,GHGHa,GHGa
BAC,O,1-25-GHGHb,1-25,GHGHb,GHGb
BAC,O,1-26-GHHM,1-26,GHHM,GHH
BAC,O,1-27-GHJY,1-27,GHJY,GHJ
